title,publication,date,language,path,image,status
"Lily Konigsberg — Lily We Need To Talk Now","The Line of Best Fit","2021-10-29","English","/portfolio/lily-konigsberg-lily-we-need-to-talk-now","","current Squarespace"
"Drott — Orcus","The Line of Best Fit","2021-10-14","English","/portfolio/drott-orcus","","current Squarespace"
"Manic Street Preachers — The Ultra Vivid Lament","The Line of Best Fit","2021-09-10","English","/portfolio/manic-street-preachers-the-ultra-vivid-lament","","current Squarespace"
"Motorists — Surrounded","The Line of Best Fit","2021-09-03","English","/portfolio/motoristssurrounded","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/686789ae-524a-44ef-8226-2a74de3c6ee8/motorists-surrounded-art.jpeg","migration page created"
"Bryan Away — Sawdust","The Line of Best Fit","2021-07-08","English","/portfolio/bryanawaysawdust","","current Squarespace"
"Various Artists — DC Dark Nights: Death Metal","The Line of Best Fit","2021-06-18","English","/portfolio/various-artists-dc-dark-nights-death-metal","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/c24264bc-1f47-48e1-89c7-e3f1bfb07938/DCDarkNights-Soundtrack-Cover-Low.jpeg","migration page created"
"Sons of Raphael — Full-Throated Messianic Homage","The Line of Best Fit","2021-05-21","English","/portfolio/sons-of-raphael-full-throated-messianic-homage","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/6edcd8e0-e870-4581-9700-a4e01eeacce8/Sons_of_Raphael_FTMH_album_art.jpeg","migration page created"
"Andy Stott — Too Many Voices","PopMatters","2017-07-27","English","/portfolio/andy-stott-too-many-voices","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/b6cec74e-90b8-474a-ad91-d330390b333f/814TprjkRIL._UF1000%2C1000_QL80_.jpg","migration page created"
"Lewis Pesacov And Wild Up — The Edge Of Forever","PopMatters","2016-07-28","English","/portfolio/lewis-pesacov-and-wild-up-the-edge-of-forever","","current Squarespace"
"Denovali Festival @ London","PopMatters","2016-04-25","English","/portfolio/denovalifestival","","current Squarespace"
"Ameen Saleem — The Groove Lab","All About Jazz","2016-03-08","English","/portfolio/ameen-saleem-the-groove-lab","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704018195533-WYL8Y345YJ6POINWM0TC/R-14610195-1578140761-1915.jpg","migration page created"
"Jodie Landau — You Of All Things","PopMatters","2016-01-14","English","/portfolio/jodie-landau-you-of-all-things","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703851392609-0XXELZYTY4O2UTAHLJIR/ab67616d0000b273fb1940978d56b1efc192f04a.jpg","migration page created"
"Exit Verse — Exit Verse","PopMatters","2016-01-12","English","/portfolio/exit-verse-exit-verse","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703871682242-5RXMK90S0IEVI1PXLTPJ/Exit-Verse.jpg","migration page created"
"Avvenir — Glyphs","PopMatters","2015-12-17","English","/portfolio/avvenir-glyphs","","current Squarespace"
"Kangding Ray — Cory Arcane","PopMatters","2015-11-30","English","/portfolio/kangding-ray-cory-arcane","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/9b23b3f2-2934-4864-884f-905074eec704/a3881039833_10.jpg","migration page created"
"Dan Trueman — Nostalgic Synchronic","PopMatters","2015-11-19","English","/portfolio/dan-trueman-nostalgic-synchronic","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703852367284-293MFESD9K4CETV01PFU/image-asset.jpeg","migration page created"
"Funk Off — Things Change","All About Jazz","2015-10-15","English","/portfolio/funkoffthingschange","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703964679926-8HGQQ4FMS6IC784T6BFC/71o1X6h6jaL._UF1000%2C1000_QL80_.jpg","migration page created"
"Sunn O))) + Phurpa @ The Southbank Centre","PopMatters","2015-09-01","English","/portfolio/sunn-o-phurpa-london","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703854689313-JF2TWCQWBKMTSQBYF9MM/img-36007.jpg","migration page created"
"Sun Ra & His Intergalactic Research Arkestra — Planets Of Life Or Death: Amiens ’73","PopMatters","2015-07-20","English","/portfolio/sun-ra-his-intergalactic-research-arkestra-planets-of-life-or-death-amiens-73","","current Squarespace"
"Boris — Noise","PopMatters","2014-07-09","English","/portfolio/borisnoise","","current Squarespace"
"Fennesz — Bécs","PopMatters","2014-06-24","English","/portfolio/fennesz-becs","","current Squarespace"
"Dave Porter — Breaking Bad OST","PopMatters","2014-05-20","English","/portfolio/dave-porter-breaking-bad-ost","","current Squarespace"
"Horseback — Piedmont Apocrypha","PopMatters","2014-05-13","English","/portfolio/horseback-piedmont-apocrypha","","current Squarespace"
"Slint live @ The Forum","The Quietus","2013-12-05","English","/portfolio/slintliveinlondon","","current Squarespace"
"Shellac live @ Netil House","The Quietus","2013-11-29","English","/portfolio/shellacliveinlondon","","current Squarespace"
