title,publication,canonical_publication,date,language,category,original_url,source_row,status
Terrorism Seen from Londonistan,Peacereporter.net,PeaceReporter.net,2005-08-18,unknown,Politics,http://www.peacereporter.net/dettaglio_articolo.php?idart=3462,3,master-list; not in Squarespace portfolio
Le bombe viste dal Londonistan,Peacereporter.net,PeaceReporter.net,2005-08-11,unknown,Politics,http://www.peacereporter.net/dettaglio_articolo.php?idart=3444,4,master-list; not in Squarespace portfolio
Meglio non parlarne,Peacereporter.net,PeaceReporter.net,2005-10-17,unknown,Politics,http://www.peacereporter.net/dettaglio_articolo.php?idart=3790,5,master-list; not in Squarespace portfolio
"A.M., the - The A.M.",Kronic.it,Kronic,2003-12-17,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9235,3,master-list; not in Squarespace portfolio
"A.M., the - The A.M.",Dedication.it,Dedication.it,2003-09-16,unknown,Music reviews,http://www.dedication.it/trlist-the_am.htm,4,master-list; not in Squarespace portfolio
AA.VV. - Everything comes and goes,Musicboom.it,MusicBoom,2005-12-25,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051107044640,5,master-list; not in Squarespace portfolio
Acid Brains - The End Of The Show,Dedication.it,Dedication.it,2004-08-08,unknown,Music reviews,http://www.dedication.it/trlist-acidbrains.htm,6,master-list; not in Squarespace portfolio
Adom - Idiot Savant,Dedication.it,Dedication.it,2003-09-03,unknown,Music reviews,http://www.dedication.it/trlist-adom.htm,7,master-list; not in Squarespace portfolio
Adventure In Time - Dreams of Water Themes,Musicboom.it,MusicBoom,2004-03-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040223232114,8,master-list; not in Squarespace portfolio
Aeternus - Hexaeon,Kronic.it,Kronic,2006-05-24,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13385,9,master-list; not in Squarespace portfolio
Agoraphobic Nosebleed - Altered States Of America,Dedication.it,Dedication.it,2004-01-28,unknown,Music reviews,http://www.dedication.it/trlist-agoraph.htm,10,master-list; not in Squarespace portfolio
Alephra - Sands,Musicboom.it,MusicBoom,2004-03-14,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040302222636,11,master-list; not in Squarespace portfolio
Alternative Allstars - 110% Rock,RockOn.it,RockOn.it,2004-07-19,unknown,Music reviews,http://www.rockon.it/modules.php?name=Reviews&rop=showcontent&id=669,12,master-list; not in Squarespace portfolio
Angra - Aurora Consurgens ,Kronic.it,Kronic,2006-10-30,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14102,13,master-list; not in Squarespace portfolio
Atreyu - A Death Grip On Yesterday,Kronic.it,Kronic,2006-04-04,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13147,14,master-list; not in Squarespace portfolio
B.B.A. - B.B.A.,Dedication.it,Dedication.it,2004-04-16,unknown,Music reviews,http://www.dedication.it/trlist-bba.htm,15,master-list; not in Squarespace portfolio
"Barker, Sophie - Earthbound",Musicboom.it,MusicBoom,2005-10-07,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051006043804,16,master-list; not in Squarespace portfolio
"Barlow, Andy - Back To Mine - The Voodoo Sessions",Musicboom.it,MusicBoom,2004-09-08,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040831053958,17,master-list; not in Squarespace portfolio
Bikini Atoll - Moratoria,Musicboom.it,MusicBoom,2004-03-12,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040304201622,18,master-list; not in Squarespace portfolio
Black Eyes - Cough,Musicboom.it,MusicBoom,2004-12-30,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041229074832,19,master-list; not in Squarespace portfolio
Black Heart Procession - In the fishtank Vol. 11,Musicboom.it,MusicBoom,2004-06-05,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040605060118,20,master-list; not in Squarespace portfolio
Bolt Thrower - Those once loyal,Musicboom.it,MusicBoom,2005-01-17,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051223035146,21,master-list; not in Squarespace portfolio
"Bright Eyes & Neva Dinova - One Jug Of Wine, Two Vessels",Musicboom.it,MusicBoom,2004-07-03,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040702023310,22,master-list; not in Squarespace portfolio
Brightblack - Ala.Cali.Tucky,Musicboom.it,MusicBoom,2004-07-10,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040706045846,23,master-list; not in Squarespace portfolio
"Brinkmann, Thomas - Tokyo +1",Musicboom.it,MusicBoom,2004-08-14,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040731195809,24,master-list; not in Squarespace portfolio
British Sea Power - The decline of British Sea Power,Kronic.it,Kronic,2004-01-27,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9431,25,master-list; not in Squarespace portfolio
Catacombs - In The Depths Of R`lyeh,Kronic.it,Kronic,2006-05-13,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13347,26,master-list; not in Squarespace portfolio
Centinex - Decadence - Prophecies Of Cosmic Chaos,Musicboom.it,MusicBoom,2004-05-05,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040501191434,27,master-list; not in Squarespace portfolio
Children Of Bodom - Are you dead yet ?,Musicboom.it,MusicBoom,2006-03-11,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060128053637,28,master-list; not in Squarespace portfolio
"CKeline, Christian - Real Ghosts",Musicboom.it,MusicBoom,2004-06-03,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040603051127,29,master-list; not in Squarespace portfolio
Clouds Of Norah - Every Character Vs. My Criteria,RockOn.it,RockOn.it,2004-07-13,unknown,Music reviews,http://www.rockon.it/modules.php?name=Reviews&rop=showcontent&id=666,30,master-list; not in Squarespace portfolio
Concept - Reason and truth ,Musicboom.it,MusicBoom,2004-03-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040311105037,31,master-list; not in Squarespace portfolio
Da Pulka - Da pulka,Musicboom.it,MusicBoom,2005-12-04,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051031200942,32,master-list; not in Squarespace portfolio
"Dälek and Faust - Derbe Respect, Alder",Musicboom.it,MusicBoom,2004-05-31,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040531003439,33,master-list; not in Squarespace portfolio
Dark Tranquillity - Character,Dedication.it,Dedication.it,2005-02-07,unknown,Music reviews,http://www.dedication.it/trlist-dark_tranq.htm,34,master-list; not in Squarespace portfolio
Dark Tranquillity - Exposure (In retrospect and denial),Musicboom.it,MusicBoom,2004-07-26,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040719004553,35,master-list; not in Squarespace portfolio
"Darkness, the - Permission to land",Musicboom.it,MusicBoom,2004-01-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040101232901,36,master-list; not in Squarespace portfolio
Darkthrone - The Cult Is Alive,Kronic.it,Kronic,2006-03-28,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13116,37,master-list; not in Squarespace portfolio
Deadbeat - New World Observer,Musicboom.it,MusicBoom,2005-11-02,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051005041932,38,master-list; not in Squarespace portfolio
"Deadbeat - Something Borrowed, Something Blue",Musicboom.it,MusicBoom,2004-05-04,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040501061402,39,master-list; not in Squarespace portfolio
Deadman - Our eternal ghosts,Musicboom.it,MusicBoom,2005-12-12,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051223043449,40,master-list; not in Squarespace portfolio
Deflore - Human Indu[b]strial,Kronic.it,Kronic,2006-05-16,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13364,41,master-list; not in Squarespace portfolio
Depeche Mode - Playing the angel,Musicboom.it,MusicBoom,2005-10-26,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20051025074109,42,master-list; not in Squarespace portfolio
Diecast - Internal revolution,Kronic.it,Kronic,2007-02-18,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14623,43,master-list; not in Squarespace portfolio
"Dillinger Escape Plan, the - Miss Machine",Dedication.it,Dedication.it,2004-08-10,unknown,Music reviews,http://www.dedication.it/trlist-dep2.htm,44,master-list; not in Squarespace portfolio
Dir En Grey - Vulgar,Kronic.it,Kronic,2006-10-14,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14005,45,master-list; not in Squarespace portfolio
Disorder - EneMYself,Dedication.it,Dedication.it,2004-03-16,unknown,Music reviews,http://www.dedication.it/trlist-disorder.htm,46,master-list; not in Squarespace portfolio
Duskfall - Lifetime supply of guilt,Musicboom.it,MusicBoom,2006-03-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060201063934,47,master-list; not in Squarespace portfolio
Dustsucker - Jack Knife Rendezvous,Kronic.it,Kronic,2006-10-20,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14032,48,master-list; not in Squarespace portfolio
"Ellesmere, David - Rites of spring",Musicboom.it,MusicBoom,2004-12-28,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20041227222106,49,master-list; not in Squarespace portfolio
"Ellis, Rob - Music for the home vol. 2",Musicboom.it,MusicBoom,2005-02-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050201043147,50,master-list; not in Squarespace portfolio
End Of Level Boss - Prologue,Musicboom.it,MusicBoom,2006-03-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20060201043456,51,master-list; not in Squarespace portfolio
Entwine - DiEversity,Musicboom.it,MusicBoom,2004-06-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040530030651,52,master-list; not in Squarespace portfolio
Fantômas - Delirium Cordia,Musicboom.it,MusicBoom,2004-02-04,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040130162559,53,master-list; not in Squarespace portfolio
Fantômas - Suspended animation,Musicboom.it,MusicBoom,2005-05-14,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050513055918,54,master-list; not in Squarespace portfolio
Farmer Boys – The Other Side,RockOn.it,RockOn.it,2004-03-10,unknown,Music reviews,http://www.rockon.it/modules.php?name=Reviews&rop=showcontent&id=549,55,master-list; not in Squarespace portfolio
Faun Fables - Family album,Musicboom.it,MusicBoom,2004-05-02,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040501070635,56,master-list; not in Squarespace portfolio
Fear Factory - Archetype,Kronic.it,Kronic,2004-04-20,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9905,57,master-list; not in Squarespace portfolio
Fony - Circles,Dedication.it,Dedication.it,2004-04-01,unknown,Music reviews,http://www.dedication.it/trlist-fony.htm,58,master-list; not in Squarespace portfolio
Four Square - Three Chords...One Capo,Musicboom.it,MusicBoom,2004-03-28,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040309230259,59,master-list; not in Squarespace portfolio
Funeral For A Friend - Casually dressed and deep in conversation,Musicboom.it,MusicBoom,2004-02-25,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040216151427,60,master-list; not in Squarespace portfolio
Funeral For A Friend - Casually Dressed And Deep In Conversation,Kronic.it,Kronic,2004-02-16,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9524,61,master-list; not in Squarespace portfolio
Girls in Hawaii - From here to there ,Musicboom.it,MusicBoom,2004-05-01,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040428070507,62,master-list; not in Squarespace portfolio
Goatwhore - A haunting curse,Kronic.it,Kronic,2006-10-15,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14006,63,master-list; not in Squarespace portfolio
Golem - Dreamweaver ,Kronic.it,Kronic,2004-07-20,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=10462,64,master-list; not in Squarespace portfolio
Grave - Fiendish regression,Musicboom.it,MusicBoom,2004-08-30,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040816010109,65,master-list; not in Squarespace portfolio
