path,title,publication,date,language,image,status
"/portfolio/mike-weis-dont-know-just-walk","Mike Weis - “Don’t Know, Just Walk”","PopMatters","17 July 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703953774995-UXS9042S9PM8DAQOL06J/a4159039350_65.jpg","recovered from Squarespace page 3"
"/portfolio/kronos-quartet-a-thousand-thoughts","Kronos Quartet. –“A Thousand Thoughts”","PopMatters","15 July 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703953951798-TUJEGFETPDI9A5TL5IR2/2014_04_AThousandThoughts-1.jpg","recovered from Squarespace page 3"
"/portfolio/british-summer-time-at-hyde-park","British Summer Time @ Hyde Park (London, UK)","PopMatters","14 July 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703954132434-HXXLR09RRGZHJPYFR7ND/img-47293.jpg","recovered from Squarespace page 3"
"/portfolio/chris-brokaw-now-forager-ost","Chris Brokaw - “Now, Forager OST”","PopMatters","9 July 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703954821984-YW0MTFAGZ5MFENBBAJXU/1200x1200bf-60.jpg","recovered from Squarespace page 3"
"/portfolio/borisnoise","Boris - “Noise”","PopMatters","9 July 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703954388748-NRSGUEVOWST69HG0TFC0/Boris_-_Noise_%28Japanese_Release%29.jpg","recovered from Squarespace page 3"
"/portfolio/fennesz-becs","Fennesz – “Bécs”","PopMatters","24 June 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703954628154-RC224107R4Y624L3F8QS/Fennesz_-_Be%CC%81cs.jpg","recovered from Squarespace page 3"
"/portfolio/cult-of-luna-beyond-the-redshift-10-may-2014-london-uk","Cult Of Luna (Beyond The Redshift): 10 May 2014 (London, UK)","PopMatters","3 June 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703954978680-VU5XTGG6X1RA3Y5HF5RD/img-48369.jpg","recovered from Squarespace page 3"
"/portfolio/area-11-april-2014-london-uk","Area 11 April 2014 (London, UK)","PopMatters","6 May 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703955920666-OBD97VSNVU942L87G7JW/img-49175.jpg","recovered from Squarespace page 3"
"/portfolio/kangding-ray-solens-arc","Kangding Ray - “Solens Arc”","PopMatters","28 April 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703956228814-C1VUGJMQ9T41CCYBBLST/a1346533126_10.jpg","recovered from Squarespace page 3"
"/portfolio/a-minor-forest-flemish-altruism-/-inindependence","A Minor Forest: Flemish Altruism / Inindependence","PopMatters","25 April 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703956518612-3BC339CDHN0R8S37Q4ZU/5b90c01c.jpeg","recovered from Squarespace page 3"
"/portfolio/john-zorn-fragmentations-prayers-and-interjections","John Zorn - “Fragmentations, Prayers and Interjections”","PopMatters","2 April 2014","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703850175675-SBS3CNWAZO0ECEWLL9AI/Fragmentations%2C_Prayers_and_Interjections.jpg","recovered from Squarespace page 3"
"/portfolio/corea-del-nord-il-pericolo-di-un-inevitabile-cambiamento","Corea del Nord – Il pericolo di un inevitabile cambiamento","In Italiano","18 March 2014","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704019040720-WOLHII4Y6YTSHFLZLQ84/coreanord.jpg","recovered from Squarespace page 3"
"/portfolio/ulveratcircolo-degli-artisti-roma","Ulver @ Circolo degli Artisti (Rome, IT)","In Italiano","16 February 2014","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704035778920-H7S3SXI3Z3OJQWG3HMKW/IMG_1187.JPG","recovered from Squarespace page 3"
