path,title,category,date,language,image,excerpt,status
"/portfolio/ulver-messe-ixvix","Ulver – “Messe I.X–VI.X”","Angry Metal Guy","17/12/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704021687761-GKHYES90QEGHUNB0JLEX/Ulver_Messe_I.X-VI.X_cover.jpg","","recovered from Squarespace page 4"
"/portfolio/ulvermesse-ixvix","Ulver - “MESSE I.X–VI.X”","The Quietus","13/12/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703956937150-W64VPFX5BABFX8G294XF/Ulver_Messe_I.X-VI.X_cover.jpg","An overarching feeling of decadence permeates every single note on Messe I.X–VI.X, and the listener is left with the same unavoidable yet near imperceptible sensation once the album's last note has ceased reverberating.","recovered from Squarespace page 4"
"/portfolio/slintliveinlondon","Slint live @ The Forum (London, UK)","The Quietus","05/12/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703957380778-CM6MCDMLGCZWITEIA625/20131203-20131203-_MG_1155-2_1386260825_crop_550x367.jpg","Alex Franquelli never wanted to see Slint live, but thankfully he changed his mind for tQ and went along to the Forum for their recent ATP gig.","recovered from Squarespace page 4"
"/portfolio/pianointerruptedtheunifiedfield","Piano Interrupted - “The Unified Field”","PopMatters","03/12/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703957628916-G9U1OP02EUN2TNS3ABW0/piano_interupted_unified_grande.jpeg","","recovered from Squarespace page 4"
"/portfolio/shellacliveinlondon","Shellac live @ Netil House (London, UK)","The Quietus","29/11/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703957862058-JNTM3L5N1LSMZZEROWEX/shellac3_1385751883_crop_550x367.jpg","Alex Franquelli reports back from the trio's London show at Netil House this week.","recovered from Squarespace page 4"
"/portfolio/melt-yourself-downand-flamingods","Melt Yourself Down & Flamingods @ The New Empowering Church (London, UK)","In Italiano","29/11/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704037774192-TJHZYJW61LS6RRQ963LA/melt-yourself-down-20200327070018.jpg","","recovered from Squarespace page 4"
"/portfolio/charlemagne-palestinezev-rubhitbangklanghear/rubhitbangklangear","Charlemagne Palestine / Z'ev – “RUBHITBANGKLANGHEAR/ RUBHITBANGKLANGEAR”","The Quietus","25/11/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703958118038-7XETAXZ3CRZPD78ONP8S/a1316056171_10.jpg","","recovered from Squarespace page 4"
"/portfolio/the-golden-circle-the-golden-circle","The Golden Circle - “The Golden Circle”","OndaRock","15/11/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704032431703-GWW7SXT0KN9U4CLHK4D9/51dA3ryJ4ML_1384341212.jpg","","recovered from Squarespace page 4"
"/portfolio/the-body-christs-redeemers","The Body - “Christs, Redeemers”","OndaRock","09/11/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704031900496-EH92SN4UAX8292G4HU0U/a4015257588_65.jpg","","recovered from Squarespace page 4"
"/portfolio/mamiffer-circle-enharmonic-intervals-for-paschen-organ","Mamiffer & Circle – “Enharmonic Intervals (for Paschen Organ)”","Angry Metal Guy","25/10/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704021503153-LT4DB7BPFQNN4Y9SXGRQ/Mamiffer-Circle-Enharmonic-Intervals-Artwork.jpg","","recovered from Squarespace page 4"
"https://www.opendemocracy.net/en/tipping-point-for-mongolias-democracy/","A tipping point for Mongolia's democracy?","openDemocracy","09/10/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703847727940-BZL85G6OU0JUWP94672I/940x627.jpg","Countries like Tajikistan, Kyrgyzstan and Uzbekistan, which, following a brief stint of democracy in the early 1990s, have returned to a state of authoritarianism, serve as a warning to a country that is yet to find a balance between poverty and potentially immense wealth.","recovered from Squarespace page 4"
"/portfolio/nine-inch-nails-hesitation-marks","Nine Inch Nails - “Hesitation Marks”","In Italiano","09/09/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704034355539-J2M5P4UN97TKV6JSBOC8/81sr0CzzmrL._UF1000%2C1000_QL80_.jpg","","recovered from Squarespace page 4"
"/portfolio/grumbling-fur-glynnaestra","Grumbling Fur – “Glynnaestra”","Angry Metal Guy","09/09/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704022162341-ZBEAP24GHJVSXJ9F6IM9/Grumbling-Fur_Glynnaestra.jpg","","recovered from Squarespace page 4"
"/portfolio/boards-of-canada-tomorrows-harvest","Boards Of Canada - “Tomorrow’s Harvest”","In Italiano","15/07/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704034160023-ZFB2ZBYJ9AOB4GKIZ8IJ/boccover.jpg","","recovered from Squarespace page 4"
"/portfolio/kwaidan-make-all-the-hell-of-dark-metal-bright","Kwaidan - “Make All The Hell Of Dark Metal Bright”","OndaRock","14/07/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704031660020-ALMUOCLZSAL7T8VTS7BN/a4022468390_10.jpg","","recovered from Squarespace page 4"
"https://www.opendemocracy.net/en/mongolia-is-stability-new-challenge/","Mongolia: is stability the new challenge?","openDemocracy","10/07/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1703847727940-BZL85G6OU0JUWP94672I/940x627.jpg","Countries like Tajikistan, Kyrgyzstan and Uzbekistan, which, following a brief stint of democracy in the early 1990s, have returned to a state of authoritarianism, serve as a warning to a country that is yet to find a balance between poverty and potentially immense wealth.","recovered from Squarespace page 4"
"/portfolio/locrian-return-to-annihilation","Locrian – “Return to Annihilation”","Angry Metal Guy","21/06/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704021251785-6MTX4SA3LQ9KZT2S70S5/locrian-returntoannihilation.jpg","","recovered from Squarespace page 4"
"/portfolio/author-punisher-women-children","Author & Punisher – “Women & Children”","Angry Metal Guy","15/06/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704022346911-24NW3TWAVP5LWSPXNAGN/womenchildrenCOVER.jpg","","recovered from Squarespace page 4"
"/portfolio/einar-scheving-einar-scheving-land-mins-fodur","Einar Scheving - “Einar Scheving: Land Mins Fodur”","All About Jazz","10/06/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704015434270-GF2BNBU9YG9248V3D9IJ/Cover_LMF_2.png","","recovered from Squarespace page 4"
"/portfolio/the-heliocentrics-13-degrees-of-reality","The Heliocentrics - “13 Degrees Of Reality”","In Italiano","05/06/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704035007993-Q01GWGEMGWN800C70QUG/ab67616d0000b27301f6aea5b0cd8bb9a52080e8.jpg","","recovered from Squarespace page 4"
"_pagination","Older Posts","","","","","","next offset 1370440980863"
