path,title,category,date,language,image,status
"/portfolio/crown-psychurgy","CROWN – “Psychurgy”","Angry Metal Guy","12/04/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704030044300-WAAQX5QT3421VFBNMOP9/CrownPsychurgyalbumcoverartworkpackshot400pxThrashHits.jpg","recovered from Squarespace page 5"
"/portfolio/the-shak-speares-gagster","The Shak & Speares - “Gagster”","OndaRock","07/04/2013","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704033231481-MCD8CWS1T5S212HXKB6Y/The-Shak-Speares-Gagster_1364842693.jpg","recovered from Squarespace page 5"
"/portfolio/wormed-exodromos","Wormed - “Exodromos""","Publication to verify","21/03/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704019903859-KLFIK149KB5DOC3VM82F/Wormed-Exodromos.jpg","recovered from Squarespace page 5"
"/portfolio/philip-h-anselmo/warbeast-war-of-the-gargantuas-epauthor-punisher-women-children-hrbkn","Philip H. Anselmo/ Warbeast – “War of the Gargantuas” EP","Angry Metal Guy","04/03/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704030213454-FPV9OS47MIU2ZO7ADR9J/War-of-the-Gargantuas.jpg","recovered from Squarespace page 5"
"/portfolio/steven-wilson-the-raven-that-refused-to-sing-and-other-stories","Steven Wilson – “The Raven that Refused to Sing (and Other Stories)”","Angry Metal Guy","18/02/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704020429315-O36HL89R319RRU0AO62D/Steven-Wilscon-TRtRtSaOS.jpg","recovered from Squarespace page 5"
"/portfolio/kongh-sole-creation","Kongh – “Sole Creation”","Angry Metal Guy","05/02/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704029833903-LTXX3JWAMQ124A2OQEJ5/kongh-sole-creation.jpg","recovered from Squarespace page 5"
"/portfolio/fabrizio-sferra-quartet-untitled-28","Fabrizio Sferra Quartet - “Untitled #28”","All About Jazz","28/01/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704015624134-WCRHXMKCM69F1DUHI2PZ/51PCUs38yPL._UF1000%2C1000_QL80_.jpg","recovered from Squarespace page 5"
"/portfolio/tomahawk-oddfellows","Tomahawk – “Oddfellows”","Angry Metal Guy","25/01/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704023640199-Z25ATV8TT82T3H6YZ6B9/Tomahawks_album_-Oddfellows-500.jpg","recovered from Squarespace page 5"
"/portfolio/cult-of-luna-vertikal","Cult of Luna – “Vertikal”","Angry Metal Guy","19/01/2013","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704020852060-LF5JXQEP86Y369XVRGLN/Cult-of-Luna-Vertikal.jpg","recovered from Squarespace page 5"
"/portfolio/neurosis-honor-found-in-decay","Neurosis – “Honor Found In Decay”","Angry Metal Guy","08/11/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704022897423-PQHJY5MLV57WVQ7A6PD8/Neurosis_honor_found_in_decay.jpg","recovered from Squarespace page 5"
"/portfolio/anglagrd-viljans-oga","Änglagård - ""Viljans Öga""","All About Jazz","04/11/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704015963305-EU4Q5B3MSQULAIHKOFQT/cover_54581342017_r.jpeg","recovered from Squarespace page 5"
"/portfolio/matteo-fraboni-quintet-this-is-my-musicondarock","Matteo Fraboni Quintet - “This Is My Music”","OndaRock","25/10/2012","it","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704032584796-J0OPSOR5GWCEB8Z83T95/matteofraboni.jpg","recovered from Squarespace page 5"
"/portfolio/matteo-fraboni-quintet-this-is-my-music","Matteo Fraboni Quintet - “This is My Music”","All About Jazz","05/10/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704016152172-QPKS8QEZ23K1GMTRZGSF/matteofraboni.jpg","recovered from Squarespace page 5"
"/portfolio/vision-of-disorder-the-cursed-remain-cursed","Vision of Disorder – “The Cursed Remain Cursed”","Angry Metal Guy","18/09/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704023237086-GVHDOMVMAISNMJLS2VA3/Vision-of-Disorder.jpg","recovered from Squarespace page 5"
"/portfolio/the-remote-viewers-city-of-nets","The Remote Viewers - “City Of Nets”","All About Jazz","13/09/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704016318309-ZNHTKTXBRWR4N0JVXHFU/71zwDb8yG-L._UF894%2C1000_QL80_.jpg","recovered from Squarespace page 5"
"/portfolio/rex-shachath-sepulchral-torment","Rex Shachath – “Sepulchral Torment”","Angry Metal Guy","11/09/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704023081233-1XL459SUUZOC7YV7PT1K/Rex-Shachath-Sepulchral-Torment.jpg","recovered from Squarespace page 5"
"/portfolio/cryptopsy-cryptopsy","Cryptopsy - “Cryptopsy”","Angry Metal Guy","05/09/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704020606864-27WP2TAJ7YU9LQVGTD7H/cryptopsy-2012.jpg","recovered from Squarespace page 5"
"/portfolio/interview-with-mike-fleishmann-of-vision-of-disorder","Interview with Mike Fleishmann of Vision of Disorder","Angry Metal Guy","01/09/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704023443755-CJ2JJ3FYCSY6NCAVA9HV/VOD-shoot-1.jpg","recovered from Squarespace page 5"
"/portfolio/an-autumn-for-crippled-children-only-the-ocean-knows","An Autumn for Crippled Children – “Only the Ocean Knows”","Angry Metal Guy","27/08/2012","en","https://images.squarespace-cdn.com/content/v1/658e990e3cae2759c6d9f2ff/1704021870922-P36V4IONQRX8WOSMBEF9/OTOK_BIG.jpg","recovered from Squarespace page 5"
